PRODUTO,COR_PRODUTO,FILIAL,velocidade_prevista,n_similares,sim_media,metodo,calib_fator,velocidade_calibrada,LEADTIME,horizonte_dias,demanda_prevista,demanda_arredondada
5.20749,55222,FABULA CENTRO CM,0.010929,15,1.0,knn_enriquecido,1.5407029380016526,0.01683834240942006,4,18,0.30309016336956107,1
5.20917,55259,FABULA SHOP LEBLON CM,0.058252,15,1.0,fallback_categoria,1.6757020079967777,0.09761299336982829,4,18,1.7570338806569092,2
5.20917,55259,FABULA RDB CM,0.043689,15,1.0,fallback_categoria,1.4613373470269417,0.06384436735426005,4,18,1.1491986123766809,1
5.20917,55259,FABULA BARRA SHOPPING,0.06612,15,1.0,knn_enriquecido,1.2565817595527058,0.08308518594162491,4,18,1.4955333469492484,1
5.20917,55259,FABULA ELDORADO CM,0.033981,15,1.0,fallback_categoria,1.5793903919633479,0.05366926490930652,6,20,1.0733852981861305,1
5.20917,55259,FABULA RIO SUL CM,0.053398,15,1.0,fallback_categoria,1.6518770394243272,0.08820693015118022,4,18,1.587724742721244,2
5.20917,55259,FABULA BARRA SALVADOR CM,0.067961,15,1.0,fallback_categoria,1.3226336724858752,0.08988750701581255,16,30,2.6966252104743766,3
5.20917,55259,FABULA HARMONIA SP CM,0.029126,15,1.0,fallback_categoria,1.6413964500297988,0.04780731300356792,6,20,0.9561462600713584,1
5.20917,55259,FABULA PLAZA SHOP CM,0.033981,15,1.0,fallback_categoria,1.5184927888116602,0.05159990345660902,4,18,0.9287982622189623,1
5.20917,55259,FABULA SHOP VITORIA CM,0.048544,15,1.0,fallback_categoria,1.5665883579945814,0.07604846525048896,11,25,1.901211631262224,2
5.20917,55259,FABULA CENTRO CM,0.024272,15,1.0,fallback_categoria,1.5407029380016526,0.037395941711176106,4,18,0.6731269508011699,1
5.20918,55259,FABULA SHOP LEBLON CM,0.053398,15,0.85,fallback_categoria,1.6757020079967777,0.08947913582301194,4,18,1.6106244448142149,2
5.20918,55259,FABULA RDB CM,0.008197,15,0.85,knn_enriquecido,1.4613373470269417,0.011978582233579841,4,18,0.21561448020443713,0
5.20918,55259,FABULA BARRA SHOPPING,0.096721,15,0.85,knn_enriquecido,1.2565817595527058,0.12153784436569726,4,18,2.187681198582551,2
5.20918,55259,FABULA ELDORADO CM,0.029126,15,0.85,fallback_categoria,1.5793903919633479,0.04600132455632447,6,20,0.9200264911264894,1
5.20918,55259,FABULA RIO SUL CM,0.008197,15,0.85,knn_enriquecido,1.6518770394243272,0.013540436092161209,4,18,0.24372784965890176,0
5.20918,55259,FABULA BARRA SALVADOR CM,0.019417,15,0.85,fallback_categoria,1.3226336724858752,0.025681578018658238,16,30,0.7704473405597472,1
5.20918,55259,FABULA HARMONIA SP CM,0.106557,15,0.85,knn_enriquecido,1.6413964500297988,0.17490228152582526,6,20,3.498045630516505,3
5.20918,55259,FABULA PLAZA SHOP CM,0.028037,15,0.85,fallback_categoria,1.5184927888116602,0.042573982319912516,4,18,0.7663316817584253,1
5.20918,55259,FABULA SHOP VITORIA CM,0.029126,15,0.85,fallback_categoria,1.5665883579945814,0.04562845251495018,11,25,1.1407113128737545,1
5.20918,55259,FABULA CENTRO CM,0.030055,15,0.85,knn_enriquecido,1.5407029380016526,0.046305826801639666,4,18,0.8335048824295139,1
