PRODUTO,COR_PRODUTO,FILIAL,velocidade_prevista,n_similares,sim_media,metodo,LEADTIME,horizonte_dias,demanda_prevista,demanda_arredondada
5.21045,10054,FABULA RIO SUL CM,0.090164,10,0.75,fallback_categoria,4,18,1.622952,2
5.21045,10054,FABULA BARRA SALVADOR CM,0.114754,10,0.75,fallback_categoria,16,30,3.44262,3
5.21045,10054,FABULA HARMONIA SP CM,0.010929,10,0.75,knn_ponderado,6,20,0.21858,0
5.21045,10054,FABULA PLAZA SHOP CM,0.057377,10,0.75,fallback_categoria,4,18,1.032786,1
5.21045,10054,FABULA SHOP VITORIA CM,0.081967,10,0.75,fallback_categoria,11,25,2.049175,2
5.21045,10054,FABULA CENTRO CM,0.008197,10,0.75,knn_ponderado,4,18,0.14754599999999998,0
5.20743,55213,FABULA SHOP LEBLON CM,0.098361,10,0.75,fallback_categoria,4,18,1.7704980000000001,2
5.20743,55213,FABULA RDB CM,0.07377,10,0.75,fallback_categoria,4,18,1.32786,1
5.20743,55213,FABULA BARRA SHOPPING,0.107582,10,0.75,knn_ponderado,4,18,1.9364759999999999,2
5.20743,55213,FABULA ELDORADO CM,0.02541,10,0.75,knn_ponderado,6,20,0.5082,1
5.20743,55213,FABULA RIO SUL CM,0.090164,10,0.75,fallback_categoria,4,18,1.622952,2
5.20743,55213,FABULA BARRA SALVADOR CM,0.114754,10,0.75,fallback_categoria,16,30,3.44262,3
5.20743,55213,FABULA HARMONIA SP CM,0.04918,10,0.75,fallback_categoria,6,20,0.9836,1
5.20743,55213,FABULA PLAZA SHOP CM,0.057377,10,0.75,fallback_categoria,4,18,1.032786,1
5.20743,55213,FABULA SHOP VITORIA CM,0.081967,10,0.75,fallback_categoria,11,25,2.049175,2
5.20743,55213,FABULA CENTRO CM,0.008197,10,0.75,knn_ponderado,4,18,0.14754599999999998,0
5.20738,55216,FABULA SHOP LEBLON CM,0.065574,10,0.75,fallback_categoria,4,18,1.180332,1
5.20738,55216,FABULA RDB CM,0.065574,10,0.75,fallback_categoria,4,18,1.180332,1
5.20738,55216,FABULA BARRA SHOPPING,0.080328,10,0.75,knn_ponderado,4,18,1.4459039999999999,1
5.20738,55216,FABULA ELDORADO CM,0.017623,10,0.75,knn_ponderado,6,20,0.35246,0
5.20738,55216,FABULA RIO SUL CM,0.057377,10,0.75,fallback_categoria,4,18,1.032786,1
5.20738,55216,FABULA BARRA SALVADOR CM,0.081967,10,0.75,fallback_categoria,16,30,2.45901,2
5.20738,55216,FABULA HARMONIA SP CM,0.008197,10,0.75,knn_ponderado,6,20,0.16393999999999997,0
5.20738,55216,FABULA PLAZA SHOP CM,0.040984,10,0.75,fallback_categoria,4,18,0.737712,1
5.20738,55216,FABULA SHOP VITORIA CM,0.07377,10,0.75,fallback_categoria,11,25,1.8442500000000002,2
5.20738,55216,FABULA CENTRO CM,0.008197,10,0.75,knn_ponderado,4,18,0.14754599999999998,0
5.20745,55215,FABULA SHOP LEBLON CM,0.098361,10,0.75,fallback_categoria,4,18,1.7704980000000001,2
